obs_prop,exp_prop,,0.902588913
0.15989011,0.124444444,,
0.092307692,0.115555556,,
0.095604396,0.104444444,,
0.099725275,0.096666667,,
0.080769231,0.06,,
0.070879121,0.065555556,,
0.056868132,0.037777778,,
0.038736264,0.03,,
0.024725275,0.052222222,,
0.013186813,0.046666667,,
0.028846154,0.037777778,,
0.031318681,0.033333333,,
0.006593407,0.032222222,,
0.006593407,0.03,,
0.006593407,0.024444444,,
0.003296703,0.011111111,,
0.003296703,0.014444444,,
0.006593407,0.014444444,,
0.006593407,0.006666667,,
0.010714286,0,,
0.013186813,0.002222222,,
0.003296703,0.001111111,,
0.003296703,0.003333333,,
0,0.003333333,,
0,0.001111111,,
0,0.006666667,,
0.010714286,0.002222222,,
0.024725275,0.015555556,,
0.031318681,0.003333333,,
0.024725275,0.002222222,,
0.017307692,0.012222222,,
0.013186813,0.024444444,,
